country,iso3c,region,income,year,cluster
Latvia,LVA,Europe & Central Asia,High income,2022,3
Lebanon,LBN,Middle East & North Africa,Lower middle income,2022,2
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,2022,4
Liberia,LBR,Sub-Saharan Africa,Low income,2022,4
Libya,LBY,Middle East & North Africa,Upper middle income,2022,4
Liechtenstein,LIE,Europe & Central Asia,High income,2022,4
Lithuania,LTU,Europe & Central Asia,High income,2022,3
Luxembourg,LUX,Europe & Central Asia,High income,2022,3
"Macao SAR, China",MAC,East Asia & Pacific,High income,2022,3
Madagascar,MDG,Sub-Saharan Africa,Low income,2022,4
Malawi,MWI,Sub-Saharan Africa,Low income,2022,4
Malaysia,MYS,East Asia & Pacific,Upper middle income,2022,3
Maldives,MDV,South Asia,Upper middle income,2022,3
Mali,MLI,Sub-Saharan Africa,Low income,2022,4
Malta,MLT,Middle East & North Africa,High income,2022,3
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,2022,4
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,2022,4
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,2022,4
Mexico,MEX,Latin America & Caribbean,Upper middle income,2022,3
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,2022,4
Moldova,MDA,Europe & Central Asia,Upper middle income,2022,4
Monaco,MCO,Europe & Central Asia,High income,2022,4
Mongolia,MNG,East Asia & Pacific,Upper middle income,2022,1
Montenegro,MNE,Europe & Central Asia,Upper middle income,2022,1
Morocco,MAR,Middle East & North Africa,Lower middle income,2022,4
Mozambique,MOZ,Sub-Saharan Africa,Low income,2022,1
Myanmar,MMR,East Asia & Pacific,Lower middle income,2022,4
Namibia,NAM,Sub-Saharan Africa,Upper middle income,2022,4
Nauru,NRU,East Asia & Pacific,High income,2022,4
Nepal,NPL,South Asia,Lower middle income,2022,4
Netherlands,NLD,Europe & Central Asia,High income,2022,3
New Caledonia,NCL,East Asia & Pacific,High income,2022,4
New Zealand,NZL,East Asia & Pacific,High income,2022,3
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,2022,4
Niger,NER,Sub-Saharan Africa,Low income,2022,1
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2022,4
North Macedonia,MKD,Europe & Central Asia,Upper middle income,2022,3
Northern Mariana Islands,MNP,East Asia & Pacific,High income,2022,4
Norway,NOR,Europe & Central Asia,High income,2022,3
Oman,OMN,Middle East & North Africa,High income,2022,4
Pakistan,PAK,South Asia,Lower middle income,2022,1
Palau,PLW,East Asia & Pacific,High income,2022,4
Panama,PAN,Latin America & Caribbean,High income,2022,3
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,2022,4
Paraguay,PRY,Latin America & Caribbean,Upper middle income,2022,4
Peru,PER,Latin America & Caribbean,Upper middle income,2022,4
Philippines,PHL,East Asia & Pacific,Lower middle income,2022,4
Poland,POL,Europe & Central Asia,High income,2022,3
Portugal,PRT,Europe & Central Asia,High income,2022,3
Qatar,QAT,Middle East & North Africa,High income,2022,3
Romania,ROU,Europe & Central Asia,High income,2022,3
Russian Federation,RUS,Europe & Central Asia,High income,2022,4
Rwanda,RWA,Sub-Saharan Africa,Low income,2022,4
Samoa,WSM,East Asia & Pacific,Lower middle income,2022,1
San Marino,SMR,Europe & Central Asia,High income,2022,3
Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,2022,4
Saudi Arabia,SAU,Middle East & North Africa,High income,2022,4
Senegal,SEN,Sub-Saharan Africa,Lower middle income,2022,1
Serbia,SRB,Europe & Central Asia,Upper middle income,2022,4
Seychelles,SYC,Sub-Saharan Africa,High income,2022,3
Sierra Leone,SLE,Sub-Saharan Africa,Low income,2022,4
Singapore,SGP,East Asia & Pacific,High income,2022,3
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,High income,2022,4
Slovak Republic,SVK,Europe & Central Asia,High income,2022,3
Slovenia,SVN,Europe & Central Asia,High income,2022,3
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,2022,4
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2022,3
South Sudan,SSD,Sub-Saharan Africa,Low income,2022,4
Spain,ESP,Europe & Central Asia,High income,2022,3
Sri Lanka,LKA,South Asia,Lower middle income,2022,2
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,2022,4
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,2022,4
St. Martin (French part),MAF,Latin America & Caribbean,High income,2022,4
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,2022,1
Sudan,SDN,Sub-Saharan Africa,Low income,2022,2
Suriname,SUR,Latin America & Caribbean,Upper middle income,2022,2
Sweden,SWE,Europe & Central Asia,High income,2022,3
Switzerland,CHE,Europe & Central Asia,High income,2022,3
Syrian Arab Republic,SYR,Middle East & North Africa,Low income,2022,2
Tajikistan,TJK,Europe & Central Asia,Lower middle income,2022,4
Tanzania,TZA,Sub-Saharan Africa,Lower middle income,2022,1
Thailand,THA,East Asia & Pacific,Upper middle income,2022,4
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,2022,4
Togo,TGO,Sub-Saharan Africa,Low income,2022,4
Tonga,TON,East Asia & Pacific,Upper middle income,2022,4
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,2022,3
Tunisia,TUN,Middle East & North Africa,Lower middle income,2022,1
Turkiye,TUR,Europe & Central Asia,Upper middle income,2022,2
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,2022,4
Turks and Caicos Islands,TCA,Latin America & Caribbean,High income,2022,4
Tuvalu,TUV,East Asia & Pacific,Upper middle income,2022,4
Uganda,UGA,Sub-Saharan Africa,Low income,2022,1
Ukraine,UKR,Europe & Central Asia,Upper middle income,2022,4
United Arab Emirates,ARE,Middle East & North Africa,High income,2022,3
United Kingdom,GBR,Europe & Central Asia,High income,2022,3
United States,USA,North America,High income,2022,3
Uruguay,URY,Latin America & Caribbean,High income,2022,3
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,2022,1
Vanuatu,VUT,East Asia & Pacific,Lower middle income,2022,4
"Venezuela, RB",VEN,Latin America & Caribbean,Not classified,2022,2
Viet Nam,VNM,East Asia & Pacific,Lower middle income,2022,4
Virgin Islands (U.S.),VIR,Latin America & Caribbean,High income,2022,4
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,2022,4
"Yemen, Rep.",YEM,Middle East & North Africa,Low income,2022,4
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,2022,4
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,2022,2
Puerto Rico,PRI,Latin America & Caribbean,High income,2022,4
Somalia,SOM,Sub-Saharan Africa,Low income,2022,4
