clustering_features,n_clustering_features,n_clusters,n_factors,rotation,silhouette_score,smallest_cluster,largest_cluster,clusters_below_efa_rule,max_cluster_supported_factors,global_mean_primary_abs_loading,global_mean_cross_loading_gap,global_simple_feature_share,global_covariance_reconstruction_rmse,global_n_observations,global_n_parameters,global_exact_total_log_likelihood,global_exact_mean_log_likelihood,global_regularized_total_log_likelihood,global_regularized_mean_log_likelihood,global_regularized_aic,global_regularized_bic,global_likelihood_eigenvalue_floor,global_exact_likelihood_finite,global_minimum_uniqueness,global_uniquenesses_below_floor,clustered_n_parameters,clustered_exact_total_log_likelihood,clustered_regularized_total_log_likelihood,clustered_regularized_aic,clustered_regularized_bic,clustered_unstable_models,clustered_minus_global_regularized_bic,clustered_minus_global_regularized_aic,clustered_minus_global_regularized_total_log_likelihood,clustered_status,clustered_reason,clustered_mean_primary_abs_loading,clustered_minus_global_mean_primary_abs_loading,clustered_mean_cross_loading_gap,clustered_minus_global_mean_cross_loading_gap,clustered_simple_feature_share,clustered_minus_global_simple_feature_share,clustered_covariance_reconstruction_rmse,clustered_minus_global_covariance_reconstruction_rmse,experiment_id,status,error
services_value_added_per_worker_constant_2015_usd,1,2,21,varimax,0.5722149684239982,63,154,2,43,0.7358943989265504,0.4638755260537995,0.5116279069767442,0.011410782364724117,217,779,-6451.490141086933,-29.73036931376467,-6451.490141086897,-29.730369313764502,14460.980282173794,17093.920320581812,1e-06,True,9.2577930335902e-05,0,1558.0,-5105.487763907429,-5119.640487692144,13355.280975384288,17390.56900452351,1.0,296.6486839416975,-1105.6993067895055,1331.8496533947527,ok,,0.7639015505959568,0.02800715166940637,0.5034844242434391,0.039608898189639585,0.6286571642910729,0.11702925731432867,0.01217521957212167,0.0007644372073975537,21,ok,
services_value_added_per_worker_constant_2015_usd,1,2,22,varimax,0.5722149684239982,63,154,2,43,0.7394147378004121,0.4608801174921766,0.4883720930232558,0.010005219067436441,217,801,-6432.334618250415,-29.64209501497887,-6432.334618250701,-29.64209501498019,14466.669236501402,17173.96701668731,1e-06,True,9.084553475524615e-05,0,1602.0,-5052.988237356995,-5069.385423769744,13342.770847539488,17492.020797912424,1.0,318.0537812251132,-1123.898388961914,1362.949194480957,ok,,0.7666643922504139,0.027249654450001826,0.5042604276790059,0.04338031018682931,0.6249062265566391,0.13653413353338328,0.011684341721812872,0.0016791226543764314,22,ok,
services_value_added_per_worker_constant_2015_usd,1,2,23,varimax,0.5722149684239982,63,154,2,43,0.740830518567698,0.46450647228356634,0.46511627906976744,0.008948266553837509,217,822,-6414.995638648136,-29.562191883171135,-6414.995638647908,-29.562191883170083,14473.991277295816,17252.266901906074,1e-06,True,9.336391895253815e-05,0,1644.0,-5016.543185748028,-5033.3119342642185,13354.623868528437,17612.65565280628,1.0,360.3887509002052,-1119.367408767379,1381.6837043836895,ok,,0.769335031286451,0.028504512718752983,0.5052220880548761,0.04071561577130978,0.5821455363840959,0.1170292573143285,0.010289900935968606,0.0013416343821310971,23,ok,
services_value_added_per_worker_constant_2015_usd,1,2,24,varimax,0.5722149684239982,63,154,2,43,0.7443398574052481,0.46064373261170183,0.46511627906976744,0.007972425751050125,217,842,-6397.331869501746,-29.48079202535367,-6397.331869501503,-29.48079202535255,14478.663739003006,17324.537310684074,1e-06,True,9.110958045754902e-05,0,1684.0,-4977.152123492236,-4998.473245740666,13364.946491481332,17726.580022335278,1.0,402.0427116512037,-1113.717247521674,1398.858623760837,ok,,0.7733047987724645,0.02896494136721639,0.5078352598265231,0.04719152721482128,0.5723930982745686,0.1072768192048012,0.009109149405213611,0.0011367236541634865,24,ok,
services_value_added_per_worker_constant_2015_usd,1,2,25,varimax,0.5722149684239982,63,154,2,43,0.7533982163689227,0.47325744033745226,0.5116279069767442,0.006805662990134082,217,861,-6376.789511748005,-29.38612678224887,-6376.789511748209,-29.386126782249814,14475.579023496419,17385.670644894755,1e-06,True,8.717335237473645e-05,0,1722.0,-4940.691372697686,-4960.814253954957,13365.628507909914,17825.68369801116,1.0,440.01305311640317,-1109.9505155865045,1415.9752577932522,ok,,0.7741826245576516,0.020784408188728953,0.5049592687764475,0.031701828438995217,0.5723930982745686,0.06076519129782443,0.009058888404610596,0.002253225414476514,25,ok,
services_value_added_per_worker_constant_2015_usd,1,2,26,varimax,0.5722149684239982,63,154,2,43,0.7556507895003439,0.47045323655681986,0.4883720930232558,0.006102772317835468,217,879,-6363.663938655423,-29.32564027030149,-6363.663938655602,-29.325640270302312,14485.327877311203,17456.25765107327,1e-06,True,8.748565540317443e-05,0,1758.0,-4914.688015592854,-4938.146721829474,13392.293443658948,17945.590205678687,1.0,489.3325546054184,-1093.0344336522558,1425.5172168261279,ok,,0.7824480314288971,0.02679724192855315,0.512889649781807,0.04243641322498709,0.6286571642910729,0.14028507126781709,0.007896804223634266,0.0017940319057987977,26,ok,
services_value_added_per_worker_constant_2015_usd,1,2,27,varimax,0.5722149684239982,63,154,2,43,0.7598876511126829,0.47932831065737314,0.5116279069767442,0.005398157769276454,217,896,-6350.434921171474,-29.264677056089745,-6350.434921171399,-29.264677056089397,14492.869842342798,17521.25787111505,1e-06,True,8.461853315133716e-05,0,1792.0,-4879.518751168192,-4914.760357938435,13413.52071587687,18054.8789624863,1.0,533.6210913712493,-1079.3491264659278,1435.674563232964,ok,,0.7847217858014177,0.024834134688734855,0.510028449930486,0.03070013927311288,0.6384096024006001,0.12678169542385587,0.007027429070854278,0.0016292713015778242,27,ok,
services_value_added_per_worker_constant_2015_usd,1,2,28,varimax,0.5722149684239982,63,154,2,43,0.7696850773163549,0.4925013770356482,0.5348837209302325,0.004735402263638488,217,912,-6346.3302272418405,-29.245761415861015,-6346.330227241896,-29.24576141586127,14516.660454483792,17599.126840912693,1e-06,True,8.656507302506888e-05,0,1824.0,-4853.296033816534,-4889.10572615306,13426.21145230612,18150.451096176428,1.0,551.3242552637348,-1090.4490021776728,1457.2245010888364,ok,,0.7920033394358602,0.022318262119505272,0.5168175220446761,0.0243161450090279,0.6384096024006001,0.10352588147036756,0.005986163893033402,0.0012507616293949133,28,ok,
services_value_added_per_worker_constant_2015_usd,1,2,29,varimax,0.5722149684239982,63,154,2,43,0.7805255608155142,0.5075354153830065,0.6046511627906976,0.0032767673416906435,217,927,-6338.713155222742,-29.21065970148729,-6338.713155222892,-29.21065970148798,14531.426310445784,17664.59115717779,1e-06,True,8.719579734450811e-05,0,1854.0,-4830.894462596773,-4867.264063038001,13442.528126076002,18244.469079878385,1.0,579.8779227005944,-1088.898184369782,1471.449092184891,ok,,0.8004492677986185,0.019923706983104306,0.528615710169276,0.021080294786269493,0.6121530382595648,0.0075018754688671585,0.0053330096806710565,0.002056242338980413,29,ok,
services_value_added_per_worker_constant_2015_usd,1,2,30,varimax,0.5722149684239982,63,154,2,43,0.7892489484689267,0.5175713028155593,0.6046511627906976,0.002560102276262155,217,941,-6324.472409419306,-29.145034144789427,-6324.472409419075,-29.145034144788365,14530.94481883815,17711.428228519722,1e-06,True,8.039661561753952e-05,0,1882.0,-4808.310510083427,-4847.46435986841,13458.92871973682,18333.390896142475,1.0,621.9626676227526,-1072.0160991013308,1477.0080495506654,ok,,0.8030639759794044,0.013815027510477695,0.5262886690678379,0.008717366252278591,0.6054013503375844,0.0007501875468867159,0.00435891475737844,0.0017988124811162847,30,ok,
services_value_added_per_worker_constant_2015_usd,1,2,31,varimax,0.5722149684239982,63,154,2,43,0.7894551616120493,0.5161024722334684,0.5813953488372093,0.0025090964787000806,217,954,-6319.9113618411275,-29.124015492355426,-6319.911361840972,-29.124015492354708,14547.822723681944,17772.244798959542,1e-06,True,8.264822457149101e-05,0,1908.0,-4786.179063510685,-4825.8027416886125,13467.605483377225,18409.40879505735,1.0,637.1639960978064,-1080.2172403047189,1494.1086201523594,ok,,0.8144971882307968,0.025042026618747437,0.5426097879225287,0.026507315689060285,0.6354088522130532,0.054013503375843874,0.0035536957221178086,0.001044599243417728,31,ok,
services_value_added_per_worker_constant_2015_usd,1,2,32,varimax,0.5722149684239982,63,154,2,43,0.7947224024759374,0.5246897809856955,0.6046511627906976,0.002157460903702354,217,966,-6310.3119786822845,-29.079778703604998,-6310.311978682241,-29.079778703604795,14552.623957364482,17817.604800884565,1e-06,True,7.708178398613263e-05,0,1932.0,-4771.13210219501,-4811.140247137197,13486.280494274393,18490.24485390018,1.0,672.640053015617,-1066.3434630900883,1499.1717315450442,ok,,0.8230823430663905,0.028359940590453103,0.5552068820112506,0.03051710102555505,0.6256564141035259,0.021005251312828266,0.002101947549953942,-5.5513353748412163e-05,32,ok,
services_value_added_per_worker_constant_2015_usd,1,2,33,varimax,0.5722149684239982,63,154,2,43,0.8044901355441795,0.5345774722255383,0.5813953488372093,0.0016154370338687996,217,977,-6298.51008324012,-29.025392088664148,-6298.5100832407215,-29.02539208866692,14551.020166481443,17853.17988089047,1e-06,True,5.968665688638186e-05,0,1954.0,-4753.042477628915,-4793.700277140457,13495.400554280914,18556.34587452356,1.0,703.165993633087,-1055.6196122005294,1504.8098061002647,ok,,0.8291277827642105,0.024637647220031034,0.5601088849912386,0.025531412765700257,0.6519129782445611,0.07051762940735173,0.0017162288897270392,0.00010079185585823956,33,ok,
