clustering_features,n_clustering_features,n_clusters,n_factors,rotation,silhouette_score,smallest_cluster,largest_cluster,clusters_below_efa_rule,max_cluster_supported_factors,global_mean_primary_abs_loading,global_mean_cross_loading_gap,global_simple_feature_share,global_covariance_reconstruction_rmse,global_n_observations,global_n_parameters,global_exact_total_log_likelihood,global_exact_mean_log_likelihood,global_regularized_total_log_likelihood,global_regularized_mean_log_likelihood,global_regularized_aic,global_regularized_bic,global_likelihood_eigenvalue_floor,global_exact_likelihood_finite,global_minimum_uniqueness,global_uniquenesses_below_floor,clustered_n_parameters,clustered_exact_total_log_likelihood,clustered_regularized_total_log_likelihood,clustered_regularized_aic,clustered_regularized_bic,clustered_unstable_models,clustered_minus_global_regularized_bic,clustered_minus_global_regularized_aic,clustered_minus_global_regularized_total_log_likelihood,clustered_status,clustered_reason,clustered_mean_primary_abs_loading,clustered_minus_global_mean_primary_abs_loading,clustered_mean_cross_loading_gap,clustered_minus_global_mean_cross_loading_gap,clustered_simple_feature_share,clustered_minus_global_simple_feature_share,clustered_covariance_reconstruction_rmse,clustered_minus_global_covariance_reconstruction_rmse,experiment_id,status,error
services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,6,9,varimax,0.520153679815464,18,80,6,18,0.6351290291449264,0.4801385832921046,0.5172413793103449,0.061364648921486596,217,602,-7274.878026761015,-33.5247835334609,-7274.878026761995,-33.52478353346542,15753.75605352399,17788.454260355345,1e-06,True,2.3295922862098806e-05,0,3612.0,-inf,8058.783925556289,-8893.567851112579,3314.6213898755614,6.0,-14473.832870479784,-24647.32390463657,15333.661952318285,ok,,0.6780813679037746,0.042952338758848185,0.4475577484079834,-0.032580834884121224,0.517797552836485,0.0005561735261401246,0.06739853684214193,0.006033887920655338,522,ok,
services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,6,10,varimax,0.520153679815464,18,80,6,18,0.6359094395952842,0.47884345972229747,0.5172413793103449,0.061419060855820204,217,651,-6936.70329767964,-31.966374643684976,-6936.703297680843,-31.96637464369052,15175.406595361686,17375.719772516524,1e-06,True,1.5043563712957564e-05,0,3906.0,-inf,8802.232377064203,-9792.464754128407,3409.4143088006276,6.0,-13966.305463715897,-24967.871349490095,15738.935674745047,ok,,0.6902867158429751,0.05437727624769084,0.4556204367753656,-0.02322302294693185,0.5247894485936755,0.007548069283330627,0.06257590525654598,0.001156844400725776,523,ok,
services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,6,15,varimax,0.520153679815464,18,80,6,18,0.6923398243958025,0.4985477391618756,0.4827586206896552,0.04500017355141033,217,881,-5298.090461058378,-24.41516341501557,-5298.090461057451,-24.415163415011293,12358.180922114901,15335.870490584046,1e-06,True,1.0381764961153728e-05,0,5286.0,-inf,12477.107169645635,-14382.21433929127,3483.923071523601,6.0,-11851.947419060445,-26740.39526140617,17775.197630703085,ok,,0.7472718255832768,0.05493200118747421,0.4941078775403114,-0.004439861621564234,0.5332909582075323,0.05053233751787706,0.038863765558655984,-0.0061364079927543475,528,ok,
services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,5,24,varimax,0.48544456474836,27,84,5,27,0.7672528675233076,0.5448603700760719,0.6724137931034483,0.019597261503384967,217,1232,-4060.163172330609,-18.710429365578843,-4060.1631723302953,-18.710429365577397,10584.32634466059,14748.359884222438,1e-06,True,2.1043763503314494e-05,0,6160.0,-inf,14802.824502573967,-17285.649005147934,3534.518692661295,5.0,-11213.841191561143,-27869.975349808527,18862.987674904263,ok,,0.7809987530175967,0.013745885494289123,0.5126511565462709,-0.032209213529800995,0.551962498013666,-0.12045129508978225,0.016288421600832347,-0.0033088399025526204,480,ok,
services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,6,8,varimax,0.520153679815464,18,80,6,18,0.6459561373398963,0.49971797517086103,0.5517241379310345,0.05820058862374303,217,552,-7792.876935279432,-35.9118752777854,-7792.876935280713,-35.9118752777913,16689.753870561428,18555.457209715758,1e-06,True,2.6979806219351588e-05,0,3312.0,-inf,7107.851995629944,-7591.703991259888,3602.5160436661135,6.0,-14952.941166049644,-24281.457861821316,14900.728930910656,ok,,0.6651786070412828,0.019222469701386524,0.4413585928932399,-0.05835938227762111,0.5126330843794692,-0.03909105355156528,0.07435862423389807,0.01615803561015504,521,ok,
services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high | statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,3,6,15,varimax,0.42123712476920505,18,78,6,18,0.6923398243958025,0.4985477391618756,0.4827586206896552,0.04500017355141033,217,881,-5298.090461058378,-24.41516341501557,-5298.090461057451,-24.415163415011293,12358.180922114901,15335.870490584046,1e-06,True,1.0381764961153728e-05,0,5286.0,-inf,12386.824822109338,-14201.649644218676,3664.487766596194,6.0,-11671.382723987852,-26559.830566333578,17684.91528316679,ok,,0.7382604912899141,0.04592066689411156,0.4885208488297006,-0.01002689033217502,0.5560146194184014,0.07325599872874616,0.037741290170237154,-0.007258883381173177,813,ok,
services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,6,7,varimax,0.520153679815464,18,80,6,18,0.6426514546866168,0.4997350356893645,0.5862068965517241,0.05965159384870716,217,501,-8245.186334748505,-37.99625039054611,-8245.186334749515,-37.996250390550756,17492.37266949903,19185.7012436228,1e-06,True,2.6933054936284506e-05,0,3006.0,-inf,6164.799181947236,-6317.598363894473,3842.3730808481487,6.0,-15343.328162774651,-23809.9710333935,14409.98551669675,ok,,0.6408192024844351,-0.001832252202181639,0.4231116008996499,-0.07662343478971462,0.4791037660893056,-0.10710313046241848,0.08525769614896198,0.025606102300254813,520,ok,
services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,5,12,varimax,0.48544456474836,27,84,5,27,0.6714867862268051,0.4911327182007283,0.5344827586206896,0.052613181119927174,217,746,-6380.742177988173,-29.404341834046882,-6380.742177988816,-29.404341834049845,14253.484355977633,16774.887781718815,1e-06,True,2.5776176834413356e-05,0,3730.0,-2151271.858945018,8111.5195980701865,-8763.039196140373,3843.9779325655436,5.0,-12930.909849153271,-23016.523552118008,14492.261776059004,ok,,0.690344141173363,0.018857354946557825,0.4382613379499455,-0.05287138025078281,0.47378039091053553,-0.06070236771015408,0.05644826884160594,0.0038350877216787663,468,ok,
services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,5,23,varimax,0.48544456474836,27,84,5,27,0.7513125791539237,0.5299758489682241,0.6379310344827587,0.024421128010930736,217,1197,-4122.015607152628,-18.995463627431466,-4122.015607152613,-18.995463627431395,10638.031214305225,14683.768346493154,1e-06,True,1.2649158399491434e-05,0,5985.0,-inf,14166.312021938626,-16362.624043877251,3866.0616170624016,5.0,-10817.706729430753,-27000.655258182476,18288.32762909124,ok,,0.7817870862746378,0.03047450712071409,0.5145003320196273,-0.015475516948596835,0.568806610519625,-0.06912442396313367,0.016754743347330268,-0.007666384663600468,479,ok,
services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,5,9,varimax,0.48544456474836,27,84,5,27,0.6351290291449264,0.4801385832921046,0.5172413793103449,0.061364648921486596,217,602,-7274.878026761015,-33.5247835334609,-7274.878026761995,-33.52478353346542,15753.75605352399,17788.454260355345,1e-06,True,2.3295922862098806e-05,0,3010.0,-inf,6163.231454173278,-6306.462908346555,3867.0281258102277,5.0,-13921.426134545118,-22060.218961870545,13438.109480935273,ok,,0.6460225425424978,0.010893513397571386,0.4034786734255734,-0.0766599098665312,0.4376291117114254,-0.07961226759891948,0.07115396684688771,0.009789317925401116,465,ok,
services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,5,17,varimax,0.48544456474836,27,84,5,27,0.7058402711432675,0.4948820671701334,0.5,0.03710429689936764,217,966,-4899.856632921923,-22.579984483511165,-4899.856632920262,-22.579984483503512,11731.713265840524,14996.694109360607,1e-06,True,5.655827154171789e-06,0,4830.0,-inf,11055.62346177255,-12451.246923545099,3873.6572940553233,5.0,-11123.036815305284,-24182.960189385623,15955.480094692812,ok,,0.7392528701155194,0.033412598972251906,0.47058214422395406,-0.02429992294617933,0.49841093278245674,-0.0015890672175432607,0.03693554161882195,-0.00016875528054569044,473,ok,
services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,5,16,varimax,0.48544456474836,27,84,5,27,0.7054385365732309,0.49642580521887697,0.5,0.037168500825867076,217,924,-5137.037168603459,-23.67298234379474,-5137.037168605202,-23.672982343802776,12122.074337210404,15245.099491881789,1e-06,True,1.9547083528914655e-05,0,4620.0,-inf,10475.473927638424,-11710.947855276849,3904.177918080077,5.0,-11340.921573801712,-23833.022192487253,15612.511096243627,ok,,0.7322844300770855,0.02684589350385469,0.4661221666605068,-0.03030363855837015,0.48927379628158263,-0.01072620371841737,0.03993283946415608,0.002764338638289003,472,ok,
services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,5,8,varimax,0.48544456474836,27,84,5,27,0.6459561373398963,0.49971797517086103,0.5517241379310345,0.05820058862374303,217,552,-7792.876935279432,-35.9118752777854,-7792.876935280713,-35.9118752777913,16689.753870561428,18555.457209715758,1e-06,True,2.6979806219351588e-05,0,2760.0,-inf,5471.750969314584,-5423.501938629168,3905.0147571425005,5.0,-14650.442452573257,-22113.255809190596,13264.627904595298,ok,,0.6337786501511458,-0.012177487188750558,0.39856882618102907,-0.10114914898983196,0.4311139361194978,-0.1206102018115367,0.07732165719991146,0.019121068576168437,464,ok,
services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,6,12,varimax,0.520153679815464,18,80,6,18,0.6714867862268051,0.4911327182007283,0.5344827586206896,0.052613181119927174,217,746,-6380.742177988173,-29.404341834046882,-6380.742177988816,-29.404341834049845,14253.484355977633,16774.887781718815,1e-06,True,2.5776176834413356e-05,0,4476.0,-1322758.8852214944,10075.857659330495,-11199.71531866099,3928.7052357861066,6.0,-12846.182545932708,-25453.19967463862,16456.59983731931,ok,,0.7205998205581868,0.0491130343313817,0.4732319600636166,-0.017900758137111672,0.5201017003019228,-0.014381058318766793,0.0493879202609197,-0.003225260859007477,525,ok,
