cluster,feature,factor_1,factor_2
3,exports_of_goods_services_and_primary_income_bop_current_usd,0.9964108432775428,0.05663961091436622
3,transport_services_percent_of_service_exports_bop,0.30264340035539034,-0.1104107021816855
3,travel_services_percent_of_service_exports_bop,-0.31325952515605016,-0.09451398393818808
3,foreign_direct_investment_net_inflows_percent_of_gdp,-0.22673280323491324,-0.08061541868438064
3,short_term_debt_percent_of_exports_of_goods_services_and_primary_income,0.07834590772896909,-0.35973414694667616
3,net_oda_received_percent_of_imports_of_goods_services_and_primary_income,-0.5946820586976547,-0.07719183514661383
3,total_debt_service_percent_of_exports_of_goods_services_and_primary_income,0.1846692772730565,-0.771581018401151
3,debt_service_ppg_and_imf_only_percent_of_exports_of_goods_services_and_primary_income,-0.09125772182491736,-0.9541666202331832
3,public_and_publicly_guaranteed_debt_service_percent_of_exports_of_goods_services_and_primary_income,-0.0626380083490807,-0.9773465997591007
3,inflation_consumer_prices_annual_percent,0.030777301333294874,-0.10364704068027569
3,net_investment_in_nonfinancial_assets_percent_of_gdp,-0.2955361986328003,0.05817712197051208
3,taxes_on_goods_and_services_percent_of_revenue,-0.10866640553538456,0.04271485874012982
3,taxes_on_goods_and_services_percent_value_added_of_industry_and_services,-0.307219842303434,0.0851927590624261
3,goods_and_services_expense_percent_of_expense,-0.28981744679487675,0.1110791457284966
3,statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,0.4933099570937087,-0.1606040545876566
3,logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,0.14825639373229016,0.052051779115153275
3,exports_of_goods_and_services_current_usd,0.719527126649462,0.022412480989157383
3,exports_of_goods_and_services_constant_2015_usd,0.6844242473418172,0.029854382337685198
3,exports_of_goods_and_services_annual_percent_growth,-0.270469702483063,-0.029840245372655134
3,exports_of_goods_and_services_percent_of_gdp,-0.019732797660763687,0.3075915266133421
3,imports_of_goods_and_services_current_usd,0.7085875580293488,-0.018835703973626803
