country_name,iso3_country_code,world_bank_region,world_bank_income_group,observation_year,factor_1,factor_2
Monaco,MCO,Europe & Central Asia,High income,2022,-0.13391359758943097,-0.3680549425133517
Mongolia,MNG,East Asia & Pacific,Upper middle income,2022,-0.055720022957720175,-0.40050469159536506
Montenegro,MNE,Europe & Central Asia,Upper middle income,2022,-0.1332604476391929,-0.42226852210678195
Morocco,MAR,Middle East & North Africa,Lower middle income,2022,-0.13923522052591303,-0.21748802734562986
Mozambique,MOZ,Sub-Saharan Africa,Low income,2022,-0.1317200890388641,-0.3948999394066703
Myanmar,MMR,East Asia & Pacific,Lower middle income,2022,-0.13003561313419873,-0.37012548782859284
Namibia,NAM,Sub-Saharan Africa,Upper middle income,2022,-0.13329864634839417,-0.41099372020309705
Nauru,NRU,East Asia & Pacific,High income,2022,-0.13153716775050034,-0.4338495652965935
Nepal,NPL,South Asia,Lower middle income,2022,-0.13061759061120637,-0.40547166151481434
Netherlands,NLD,Europe & Central Asia,High income,2022,-0.27337842512251076,3.2089368796829185
New Caledonia,NCL,East Asia & Pacific,High income,2022,-0.13341452961829448,-0.381116677507825
New Zealand,NZL,East Asia & Pacific,High income,2022,-0.14158963077655773,-0.20072782301872996
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,2022,-0.1331932443832441,-0.4081478301696169
Niger,NER,Sub-Saharan Africa,Low income,2022,-0.12628317526420016,-0.4286178950941893
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2022,-0.128484012967138,-0.22321172205909295
North Macedonia,MKD,Europe & Central Asia,Upper middle income,2022,-0.1327379429131469,-0.39308324130603506
Northern Mariana Islands,MNP,East Asia & Pacific,High income,2022,-0.134680095844778,-0.38527899749132416
Norway,NOR,Europe & Central Asia,High income,2022,-0.16137942130301075,0.431702143015626
Oman,OMN,Middle East & North Africa,High income,2022,-0.14021012175555717,-0.23692336144616757
Pakistan,PAK,South Asia,Lower middle income,2022,-0.1116033213961009,-0.2364225404787109
Palau,PLW,East Asia & Pacific,High income,2022,-0.1329125779047022,-0.43656660971370914
Panama,PAN,Latin America & Caribbean,High income,2022,-0.13730927236318674,-0.31413429451465186
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,2022,-0.13298597715396596,-0.38661044206832595
Paraguay,PRY,Latin America & Caribbean,Upper middle income,2022,0.14143086904023247,-0.391053525770024
Peru,PER,Latin America & Caribbean,Upper middle income,2022,-0.14153386539674054,-0.1880017669428425
Philippines,PHL,East Asia & Pacific,Lower middle income,2022,-0.12481185536995554,0.011644369415857201
Poland,POL,Europe & Central Asia,High income,2022,-0.18416287314243002,1.0144177750418373
Portugal,PRT,Europe & Central Asia,High income,2022,-0.1499371325179802,0.015041782588370566
Qatar,QAT,Middle East & North Africa,High income,2022,-0.1470724255382223,-0.027197664219761435
Romania,ROU,Europe & Central Asia,High income,2022,-0.1497032994965032,0.04077122944883731
Russian Federation,RUS,Europe & Central Asia,High income,2022,-0.11789736109847648,1.2463765432432974
Rwanda,RWA,Sub-Saharan Africa,Low income,2022,-0.12112560779116897,-0.4261593007707645
Samoa,WSM,East Asia & Pacific,Lower middle income,2022,-0.13284564760213788,-0.4372371621659078
San Marino,SMR,Europe & Central Asia,High income,2022,-0.13340225172289635,-0.42027353514340077
Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,2022,-0.13190492868574294,-0.4187496442116899
Saudi Arabia,SAU,Middle East & North Africa,High income,2022,-0.1751611296819398,0.7670351606408279
Senegal,SEN,Sub-Saharan Africa,Lower middle income,2022,-0.11172078896698437,-0.40070097327147497
Serbia,SRB,Europe & Central Asia,Upper middle income,2022,-0.12307585955715006,-0.2910619073775319
Seychelles,SYC,Sub-Saharan Africa,High income,2022,-0.13304772400592965,-0.4273433727434224
Sierra Leone,SLE,Sub-Saharan Africa,Low income,2022,-0.13256321873617088,-0.4337272379440651
Singapore,SGP,East Asia & Pacific,High income,2022,-0.248574743611988,2.6105672928494768
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,High income,2022,-0.13195431152359455,-0.41560615229809
Slovak Republic,SVK,Europe & Central Asia,High income,2022,-0.1479044249484597,-0.03711840117812436
Slovenia,SVN,Europe & Central Asia,High income,2022,-0.14006148515233627,-0.24402759193304985
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,2022,-0.132727343739183,-0.43356596572246664
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2022,-0.14553550261226753,0.024055208766603296
South Sudan,SSD,Sub-Saharan Africa,Low income,2022,-0.13245326583240166,-0.4036708023582114
Spain,ESP,Europe & Central Asia,High income,2022,-0.20837489667570677,1.5458782462963367
Sri Lanka,LKA,South Asia,Lower middle income,2022,-0.1249994543277358,-0.37472491926154416
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,2022,-0.13195665015937275,-0.4171794783475999
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,2022,-0.13200441983701744,-0.4155581992089661
St. Martin (French part),MAF,Latin America & Caribbean,High income,2022,-0.1337429843185396,-0.36875286992781425
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,2022,-0.13190803629143313,-0.41865453025586347
Sudan,SDN,Sub-Saharan Africa,Low income,2022,-0.13260137499112332,-0.41759966070906335
Suriname,SUR,Latin America & Caribbean,Upper middle income,2022,-0.1318648369114505,-0.41215723363837137
Sweden,SWE,Europe & Central Asia,High income,2022,-0.16779969093329355,0.6881429744656562
Switzerland,CHE,Europe & Central Asia,High income,2022,-0.21443973377407216,1.704736141063312
Syrian Arab Republic,SYR,Middle East & North Africa,Low income,2022,-0.12802047571053649,-0.3884881749189723
Tajikistan,TJK,Europe & Central Asia,Lower middle income,2022,-0.13282555892786826,-0.4267459410043082
Tanzania,TZA,Sub-Saharan Africa,Lower middle income,2022,-0.04591209290782634,-0.39251496696461063
Thailand,THA,East Asia & Pacific,Upper middle income,2022,-0.14876966423578739,0.6675218349731177
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,2022,-0.13278224786233142,-0.42739615779869117
Togo,TGO,Sub-Saharan Africa,Low income,2022,-0.12903447802909684,-0.3896929909234238
Tonga,TON,East Asia & Pacific,Upper middle income,2022,-0.13267633938649176,-0.43954987712419985
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,2022,-0.13341106139618006,-0.3778707173645423
Tunisia,TUN,Middle East & North Africa,Lower middle income,2022,-0.13546209385742153,-0.36297182508291614
Turkiye,TUR,Europe & Central Asia,Upper middle income,2022,-0.17546374897289926,0.7763978459421291
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,2022,-0.13344253772476544,-0.37856086699120506
Turks and Caicos Islands,TCA,Latin America & Caribbean,High income,2022,-0.13382527284021856,-0.3690303485502945
Tuvalu,TUV,East Asia & Pacific,Upper middle income,2022,-0.13192224256863153,-0.4188526185075365
Uganda,UGA,Sub-Saharan Africa,Low income,2022,-0.04637626506259194,-0.4138347448931253
Ukraine,UKR,Europe & Central Asia,Upper middle income,2022,-0.137464855778581,-0.1965952011404117
United Arab Emirates,ARE,Middle East & North Africa,High income,2022,-0.1432673763038271,0.0044712779889084595
United Kingdom,GBR,Europe & Central Asia,High income,2022,-0.29126335643031553,3.687748127513631
United States,USA,North America,High income,2022,-0.355299475697795,5.543225885241039
Uruguay,URY,Latin America & Caribbean,High income,2022,-0.13411124060732377,-0.3497738339419146
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,2022,0.11707014200475241,-0.3474848348000703
