"","rgdpe","rgdpo","pop","emp","avh","hc","ccon","cda","cgdpe","cgdpo","cn","ck","ctfp","cwtfp","rgdpna","rconna","rdana","rnna","rkna","rtfpna","rwtfpna","labsh","irr","delta","xr","pl_con","pl_da","pl_gdpo","i_cig","i_xm","i_xr","i_outlier","i_irr","csh_c","csh_i","csh_g","csh_x","csh_m","csh_r","pl_c","pl_i","pl_g","pl_x","pl_m","pl_n","pl_k"
"Sweden",663807.5625,626883.875,10.487338,5.38126707077026,1436.05,3.48372411727905,463439.6875,654422.8125,667135.375,626560.4375,3050387.75,0.0377474762499332,0.893977463245392,0.875035881996155,634768.1875,463192.53125,650903.875,3042710.5,1.02859997749329,0.983941912651062,0.997121393680573,0.607598006725311,0.0550672449171543,0.0457278303802013,10.114251277564,0.890523433685303,0.869232475757599,0.925522387027741,"Extrapolated","Extrapolated","Market-based","Regular","Regular",0.460354298353195,0.304811984300613,0.279302507638931,0.543762803077698,-0.620901525020599,0.032670009881258,0.917569241946771,0.817567859885738,0.8459457526234,0.573585689067841,0.522619366645813,0.746964395046234,0.546923220157623
"Eswatini",11380.4384765625,10909.71484375,1.218917,0.270030498504639,NA,1.86235070228577,9793.3701171875,11041.2001953125,11414.1123046875,10868.0712890625,29621.4921875,0.000312113377731293,0.869930326938629,0.828232765197754,10687.0849609375,9771.978515625,10985.548828125,29479.07421875,1.01169812679291,0.969012081623077,0.915744483470917,0.612078845500946,0.141670808196068,0.0582197494804859,16.3622830559282,0.387992084026337,0.395290791988373,0.415151298046112,"Extrapolated","Extrapolated","Market-based","Regular","Regular",0.682719588279724,0.114816151559353,0.218394339084625,0.413900047540665,-0.487971395254135,0.0581412725150585,0.398312536386417,0.45257356688501,0.355729404796474,0.455368578433991,0.407915353775024,0.272249788045883,0.508771896362305
"Sint Maarten (Dutch part)",2001.93383789063,1711.373046875,0.042139,NA,NA,NA,1770.59643554688,2396.40283203125,2014.26708984375,1641.630859375,NA,NA,NA,NA,1761.04418945313,1768.48071289063,2384.81616210938,NA,NA,NA,NA,NA,NA,NA,1.79,0.784005045890808,0.778866767883301,0.955663084983826,"Extrapolated","Extrapolated","Market-based","Regular",NA,0.804688811302185,0.381210178136826,0.27387061715126,0.0799438431859016,-0.834935903549194,0.295222401618958,0.828327185900131,0.76432900695975,0.653777463177896,0.750645041465759,0.62692928314209,NA,NA
"Seychelles",3506.14404296875,2541.08618164063,0.125522,0.0566707514226437,NA,NA,3357.458984375,3848.37963867188,3517.72119140625,2392.69677734375,10984.0517578125,NA,NA,NA,2589.54272460938,3428.751953125,3914.82690429688,10949.30078125,NA,NA,NA,NA,NA,0.0595371350646019,14.2727945255291,0.576957702636719,0.585029661655426,0.860105454921722,"Extrapolated","Extrapolated","Market-based","Regular",NA,0.968570351600647,0.205174595117569,0.434640914201736,0.793251574039459,-1.66067969799042,0.259042233228683,0.661907449497027,0.640234408801649,0.38765249365135,0.513148188591003,0.427961707115173,0.432837188243866,NA
"Syrian Arab Republic",155761.6875,167892.953125,22.462173,5.29169321060181,1624.19,2.68029689788818,185115.75,190471.90625,156138.3125,167096.984375,68158.5234375,NA,NA,NA,182903.046875,179321.015625,185363.796875,69201.1484375,NA,NA,NA,NA,NA,0.0636284053325653,2505.74691085873,0.224455446004868,0.226433292031288,0.211583226919174,"Extrapolated","Extrapolated","Market-based","Regular",NA,0.943701446056366,0.032054141163826,0.164132714271545,0.0192278902977705,-0.121821075677872,-0.0372951366007328,0.257387878179139,0.294790842556312,0.0351063157296843,0.143184557557106,0.339740842580795,0.177018463611603,NA
"Turks and Caicos Islands",1131.18395996094,569.153747558594,0.045847,NA,NA,NA,671.604064941406,889.000610351563,1135.09118652344,534.212890625,4387.92138671875,NA,NA,NA,608.703491210938,671.002197265625,885.013427734375,4382.0791015625,NA,NA,NA,NA,NA,0.028866421431303,1,1.13316023349762,1.08255124092102,2.30019640922546,"Extrapolated","Extrapolated","Market-based","Outlier",NA,0.711497902870178,0.406947404146194,0.545686364173889,0.0891623497009277,-1.26965975761414,0.516365647315979,1.30265842643188,0.926204560636124,0.912158468775162,0.669234335422516,0.589704871177673,0.900204837322235,NA
"Chad",43037.01171875,41662.53515625,18.455316,6.20391941070557,1584.85,NA,28757.06640625,35617.26171875,43203.43359375,42209.14453125,91630.8125,0.00136448093689978,NA,NA,40490.05078125,28709.134765625,35281.1171875,91139.6328125,1.01638829708099,NA,NA,0.485394060611725,0.149904012680054,0.0752855762839317,623.759700911182,0.357966601848602,0.37643563747406,0.38530308008194,"Extrapolated","Extrapolated","Market-based","Regular","Regular",0.596543073654175,0.162528648972511,0.0847563743591309,0.144698843359947,-0.0268172919750214,0.0382903553545475,0.360760497123536,0.4538555241446,0.338302230788428,0.467121452093124,0.547752857208252,0.276959300041199,0.55647999048233
"Togo",22960.388671875,24497.541015625,9.089738,3.36420106887817,NA,2.12531304359436,22150.802734375,26347.7578125,23054.85546875,24369.794921875,78059.8515625,0.000734475674107671,0.339123129844666,0.343600124120712,24516.3125,22101.560546875,26258.89453125,77742.7109375,1.05236721038818,1.0227370262146,1.0259702205658,0.500760853290558,0.155693173408508,0.0447468943893909,623.759700911182,0.352156311273575,0.358455359935761,0.339113920927048,"Extrapolated","Extrapolated","Market-based","Regular","Regular",0.751861393451691,0.172219589352608,0.157083570957184,0.0939868837594986,-0.214537367224693,0.039385911077261,0.36701702627992,0.391700448489898,0.281027337210659,0.50247061252594,0.508150458335877,0.239029586315155,0.509638130664825
"Thailand",1419428.125,1494911.25,71.735329,39.1455726623535,2172.99,2.82910394668579,1096335.625,1427634.625,1426051.625,1496940.375,6026003.5,0.0579764470458031,0.543871700763702,0.48608610033989,1482168.625,1097246.875,1415794,6008195.5,1.02737963199615,0.975776851177216,0.96297812461853,0.437843501567841,0.155013129115105,0.0695252195000649,35.0613502144776,0.326781541109085,0.347565233707428,0.331106036901474,"Extrapolated","Extrapolated","Market-based","Regular","Regular",0.528236746788025,0.221317425370216,0.204147592186928,0.260768920183182,-0.277784943580627,0.0633142367005348,0.341985261177541,0.416342722383927,0.28744160026059,0.598987579345703,0.639086604118347,0.203644990921021,0.436024039983749
"Tajikistan",40846.3046875,49619.6171875,10.182222,2.70591640472412,2130.59,3.12118911743164,40447.98828125,54774.61328125,41110.3125,49587.43359375,756526.5,0.0054889190942049,0.212385609745979,0.219855278730392,48287.90234375,41364.0078125,55457.5703125,752954.875,1.01748251914978,1.0512490272522,1.10062623023987,0.436326235532761,0.0230749491602182,0.0242331530898809,11.031075,0.258966684341431,0.260604321956635,0.216053247451782,"Extrapolated","Extrapolated","Market-based","Regular","Regular",0.614379703998566,0.2889164686203,0.201310589909554,0.0774277970194817,-0.176945820450783,-0.00508877402171493,0.308179883456272,0.265227828504839,0.10877296151098,0.456314831972122,0.599302589893341,0.147883653640747,0.0998174771666527
