"","year","rgdpe","rgdpo","pop","emp","avh","hc","ccon","cda","cgdpe","cgdpo","cn","ck","ctfp","cwtfp","rgdpna","rconna","rdana","rnna","rkna","rtfpna","rwtfpna","labsh","irr","delta","xr","pl_con","pl_da","pl_gdpo","csh_c","csh_i","csh_g","csh_x","csh_m","csh_r","pl_c","pl_i","pl_g","pl_x","pl_m","pl_n","pl_k"
"17",1966,587542.875,565404.25,52.0674485519369,19.4938144683838,2013.07,2.00204181671143,439300.84375,575171.9375,583251,571933.125,2322627,0.102568492293358,0.762073755264282,0.766373038291931,932515.5625,706782.75,998363.6875,3886358,0.162182286381722,0.952814280986786,1.03052747249603,0.579223155975342,0.150425016880035,0.0304968226701021,0.322785562253715,0.129716634750366,0.123054206371307,0.125489309430122,0.607675969600678,0.237564697861671,0.160422250628471,0.113552898168564,-0.140583455562592,0.021367646753788,0.129016527347333,0.101513134328765,0.132368626672811,0.123672626912594,0.106602482497692,0.0680769756436348,0.960327684879303
"18",1967,630640.625,606069.3125,52.4012538809559,19.7364826202393,2037.2,2.01737833023071,470068.28125,623247.8125,627416.0625,615833.125,2444318,0.102690942585468,0.790095388889313,0.798121392726898,998718.5,754019.3125,1076845.375,4090878.5,0.170647993683815,0.98054575920105,1.0680627822876,0.579223155975342,0.154809772968292,0.030208894982934,0.322785562253715,0.13324162364006,0.126006528735161,0.128376513719559,0.604659497737885,0.248735457658768,0.158645153045654,0.11104204505682,-0.142315804958344,0.0192336644977331,0.133385209237707,0.103803913933818,0.132694358490157,0.127248093485832,0.110642492771149,0.0698685795068741,1.01871430873871
"19",1968,671040.375,645292.25,52.7191411262001,19.7263717651367,2030.84,2.03283214569092,496379.875,656916.625,668676.8125,657779.5,2573245.5,0.103002741932869,0.81223475933075,0.806211352348328,1064921.5,793503.1875,1133192.375,4307383.5,0.179539695382118,1.02107155323029,1.09764242172241,0.579223155975342,0.156663492321968,0.0299664456397295,0.322785562253715,0.13523431122303,0.128154158592224,0.130277276039124,0.595826923847199,0.24405862390995,0.158802628517151,0.120290026068687,-0.137373313307762,0.0183950439095497,0.135224044338236,0.106262291774172,0.135272852165328,0.128700986504555,0.113462224602699,0.0714801698923111,1.01790428161621
"20",1969,713977.4375,684389.5625,53.0478757446986,19.5848121643066,2029.74,2.04840421676636,523106.375,703470.1875,711192,698369.25,2727865.5,0.104794971644878,0.840584337711334,0.84150755405426,1129232.75,838599.125,1211226.375,4560455.5,0.190020754933357,1.05726099014282,1.14562559127808,0.579223155975342,0.153149425983429,0.0297299362719059,0.322785562253715,0.140406355261803,0.13301993906498,0.135462298989296,0.593256175518036,0.25826421380043,0.155783653259277,0.125573024153709,-0.151350095868111,0.0184730850160122,0.140304767258843,0.111597235977923,0.140793207178383,0.133748680353165,0.117785431444645,0.0762551352381706,1.0483466386795
"21",1970,812705,775022.1875,53.390236,19.6758079528809,2008.75,2.06409573554993,564781.4375,811133.125,809486.4375,791515.6875,2969152,0.11056112498045,0.919332146644592,0.939560472965241,1271096.25,906085.1875,1383745.625,4955094.5,0.207794591784477,1.14489662647247,1.25910723209381,0.579223155975342,0.151291906833649,0.0297987032681704,0.322785562253715,0.147921606898308,0.140412181615829,0.143600136041641,0.570635914802551,0.311240404844284,0.142908334732056,0.115695178508759,-0.153660923242569,0.0131810586899519,0.147020626150396,0.123196171003228,0.151519270431699,0.144251883029938,0.12282994389534,0.0851121544837952,1.14819705486298
"22",1971,834162.5625,796257.5,53.707795,19.6728343963623,1957.13,2.08577346801758,598917.125,828008.625,831543.125,814575.4375,3173312.75,0.115075550973415,0.931350529193878,0.941109359264374,1294206.125,941897.875,1399793.75,5340196.5,0.225677639245987,1.1374329328537,1.24281096458435,0.600888133049011,0.13409435749054,0.0302182137966156,0.320388834871977,0.15670283138752,0.150279715657234,0.153410047292709,0.58650678396225,0.281240373849869,0.148743823170662,0.120675191283226,-0.148279011249542,0.0111128240823746,0.153327952485384,0.133487700131739,0.170010171224076,0.153720632195473,0.13220351934433,0.0907925516366959,1.02682650089264
"23",1972,873883.375,832016.3125,54.067563,19.6226406097412,1938.58,2.10767889022827,633368.375,866115.0625,870494.0625,851625.4375,3350468.5,0.116454094648361,0.945728719234467,0.953609764575958,1341968.625,977403.875,1447428.75,5726575,0.243811532855034,1.14508092403412,1.24769854545593,0.609200775623322,0.127456560730934,0.0307171363383532,0.301206701544422,0.174581035971642,0.167251691222191,0.170957311987877,0.590320587158203,0.273297011852264,0.153396487236023,0.124327093362808,-0.151415377855301,0.010074189864099,0.170519962890517,0.147306469886742,0.190209368512627,0.175176978111267,0.149532377719879,0.101719491183758,1.0593900680542
"24",1973,924771.875,896030.875,54.450567,19.8837413787842,1922.6,2.1298143863678,677034.5,940490.125,918939.625,913067.375,3543404.75,0.11809341609478,0.969635903835297,0.998348236083984,1437595.5,1028525.1875,1551283.75,6134865.5,0.263710826635361,1.17857110500336,1.28478074073792,0.610125541687012,0.115631729364395,0.0311610102653503,0.301092220264693,0.195588782429695,0.191417440772057,0.192648515105248,0.592662513256073,0.288539052009583,0.148832067847252,0.127921372652054,-0.166168093681335,0.00821309629827738,0.191448259072784,0.180697841307263,0.212076709808956,0.190263360738754,0.183181270956993,0.124550580978394,1.13381111621857
"25",1974,964135.0625,958425.625,54.821113,20.1719627380371,1892.53,2.15218234062195,717092.5625,1011098.375,968173.875,966945.375,3750992.75,0.117616653442383,1.03640496730804,1.08369195461273,1516665.25,1060905.375,1627921.25,6542676,0.283268690109253,1.20225608348846,1.30364489555359,0.603226900100708,0.105540901422501,0.0314852297306061,0.335874301276079,0.206056922674179,0.206615522503853,0.206878021359444,0.59414666891098,0.304056316614151,0.147459432482719,0.147847086191177,-0.201313927769661,0.00780444033443928,0.202993871529301,0.207977959751994,0.218398610241669,0.211609855294228,0.20898962020874,0.144962325692177,1.21635544300079
"26",1975,973942.9375,964604.375,55.166045,20.1881008148193,1877.26,2.17478513717651,740537.625,984458.6875,981678.0625,975904.8125,3941122.25,0.120156720280647,1.05028212070465,1.06919491291046,1484964.5,1071877,1557022.25,6889417,0.298855781555176,1.15084636211395,1.21903109550476,0.625911951065064,0.0867528393864632,0.0315989218652248,0.337168456189478,0.23383954167366,0.23250187933445,0.233877316117287,0.604212641716003,0.249943509697914,0.154608964920044,0.14547698199749,-0.165003672242165,0.010761596262455,0.231693998645084,0.228440760971425,0.2422243375582,0.245295956730843,0.235535815358162,0.171152323484421,1.12632787227631
