cluster,n_factors,feature,factor,loading
1,6,net_oda_received_percent_of_imports_of_goods_services_and_primary_income,3,-0.04505463393871387
1,6,net_oda_received_percent_of_imports_of_goods_services_and_primary_income,4,-0.15500245702042673
1,6,net_oda_received_percent_of_imports_of_goods_services_and_primary_income,5,0.23706733248965486
1,6,net_oda_received_percent_of_imports_of_goods_services_and_primary_income,6,-0.08227074881664986
1,6,total_debt_service_percent_of_exports_of_goods_services_and_primary_income,1,-0.13609527500809301
1,6,total_debt_service_percent_of_exports_of_goods_services_and_primary_income,2,0.09784949016259342
1,6,total_debt_service_percent_of_exports_of_goods_services_and_primary_income,3,0.027169481688625537
1,6,total_debt_service_percent_of_exports_of_goods_services_and_primary_income,4,-0.09728260287816684
1,6,total_debt_service_percent_of_exports_of_goods_services_and_primary_income,5,0.5304292335494788
1,6,total_debt_service_percent_of_exports_of_goods_services_and_primary_income,6,0.280290376404992
1,6,debt_service_ppg_and_imf_only_percent_of_exports_of_goods_services_and_primary_income,1,-0.1626676231960632
1,6,debt_service_ppg_and_imf_only_percent_of_exports_of_goods_services_and_primary_income,2,-0.032737533548754416
1,6,debt_service_ppg_and_imf_only_percent_of_exports_of_goods_services_and_primary_income,3,0.004228317687865937
1,6,debt_service_ppg_and_imf_only_percent_of_exports_of_goods_services_and_primary_income,4,-0.055026979492260236
1,6,debt_service_ppg_and_imf_only_percent_of_exports_of_goods_services_and_primary_income,5,1.1963848637023902
1,6,debt_service_ppg_and_imf_only_percent_of_exports_of_goods_services_and_primary_income,6,-0.016865345742524768
1,6,public_and_publicly_guaranteed_debt_service_percent_of_exports_of_goods_services_and_primary_income,1,-0.1724933197128764
1,6,public_and_publicly_guaranteed_debt_service_percent_of_exports_of_goods_services_and_primary_income,2,-0.001897116404590734
1,6,public_and_publicly_guaranteed_debt_service_percent_of_exports_of_goods_services_and_primary_income,3,-0.012533623182703263
1,6,public_and_publicly_guaranteed_debt_service_percent_of_exports_of_goods_services_and_primary_income,4,0.027552746844131542
1,6,public_and_publicly_guaranteed_debt_service_percent_of_exports_of_goods_services_and_primary_income,5,1.2525267039244736
1,6,public_and_publicly_guaranteed_debt_service_percent_of_exports_of_goods_services_and_primary_income,6,0.007156886891524398
1,6,inflation_consumer_prices_annual_percent,1,1.1152589900383303
1,6,inflation_consumer_prices_annual_percent,2,-0.0671910919413368
1,6,inflation_consumer_prices_annual_percent,3,0.08694472221815375
1,6,inflation_consumer_prices_annual_percent,4,-0.08969421862380768
1,6,inflation_consumer_prices_annual_percent,5,-0.15052356941063924
1,6,inflation_consumer_prices_annual_percent,6,-0.042026168677683565
1,6,net_investment_in_nonfinancial_assets_current_lcu,1,-0.17021332402524428
1,6,net_investment_in_nonfinancial_assets_current_lcu,2,0.04862698207816484
1,6,net_investment_in_nonfinancial_assets_current_lcu,3,0.0016386247097544548
1,6,net_investment_in_nonfinancial_assets_current_lcu,4,0.8787647709091273
1,6,net_investment_in_nonfinancial_assets_current_lcu,5,-0.09437424062709716
1,6,net_investment_in_nonfinancial_assets_current_lcu,6,0.009376605734876607
1,6,net_investment_in_nonfinancial_assets_percent_of_gdp,1,-0.25985285399573754
1,6,net_investment_in_nonfinancial_assets_percent_of_gdp,2,-0.2902976770569156
1,6,net_investment_in_nonfinancial_assets_percent_of_gdp,3,-0.024109095613128607
1,6,net_investment_in_nonfinancial_assets_percent_of_gdp,4,-0.0334506407018404
1,6,net_investment_in_nonfinancial_assets_percent_of_gdp,5,-0.24742091158827625
1,6,net_investment_in_nonfinancial_assets_percent_of_gdp,6,-0.3898719644571296
1,6,taxes_on_goods_and_services_current_lcu,1,-0.050320858622113926
1,6,taxes_on_goods_and_services_current_lcu,2,0.00853273444992103
1,6,taxes_on_goods_and_services_current_lcu,3,0.0009687454753695648
1,6,taxes_on_goods_and_services_current_lcu,4,0.26084939227818643
1,6,taxes_on_goods_and_services_current_lcu,5,0.010506462092722563
1,6,taxes_on_goods_and_services_current_lcu,6,-0.02702366604200223
1,6,taxes_on_goods_and_services_percent_of_revenue,1,-0.03134011599158417
1,6,taxes_on_goods_and_services_percent_of_revenue,2,0.03968567735306863
1,6,taxes_on_goods_and_services_percent_of_revenue,3,0.056568528377217646
1,6,taxes_on_goods_and_services_percent_of_revenue,4,0.24825353139377104
1,6,taxes_on_goods_and_services_percent_of_revenue,5,0.05664602526092491
1,6,taxes_on_goods_and_services_percent_of_revenue,6,-0.19787051089725202
1,6,taxes_on_goods_and_services_percent_value_added_of_industry_and_services,1,-0.012966166048671374
1,6,taxes_on_goods_and_services_percent_value_added_of_industry_and_services,2,-0.05430764415118402
1,6,taxes_on_goods_and_services_percent_value_added_of_industry_and_services,3,0.06464332154695283
1,6,taxes_on_goods_and_services_percent_value_added_of_industry_and_services,4,-0.1268383723067502
1,6,taxes_on_goods_and_services_percent_value_added_of_industry_and_services,5,-0.11291517982152122
1,6,taxes_on_goods_and_services_percent_value_added_of_industry_and_services,6,-0.2709848991728673
1,6,goods_and_services_expense_current_lcu,1,-0.10570854133494374
1,6,goods_and_services_expense_current_lcu,2,0.024374374630209434
1,6,goods_and_services_expense_current_lcu,3,-0.008804018434326709
1,6,goods_and_services_expense_current_lcu,4,0.48339474790166415
1,6,goods_and_services_expense_current_lcu,5,0.09744140139570306
1,6,goods_and_services_expense_current_lcu,6,-0.002006804248029845
1,6,goods_and_services_expense_percent_of_expense,1,-0.17365402190860624
1,6,goods_and_services_expense_percent_of_expense,2,-0.1426975743215909
1,6,goods_and_services_expense_percent_of_expense,3,-0.05307836333999464
1,6,goods_and_services_expense_percent_of_expense,4,0.05398636901698276
1,6,goods_and_services_expense_percent_of_expense,5,0.013679249534632374
1,6,goods_and_services_expense_percent_of_expense,6,-0.024335156866640326
1,6,statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,1,-0.15426479812845798
1,6,statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,2,-0.002262206317274035
1,6,statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,3,0.09484404366177082
1,6,statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,4,0.06618451155957303
1,6,statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,5,0.05411631881046597
1,6,statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,6,0.08329922859610395
1,6,logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,1,-0.18489614505172458
1,6,logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,-0.12914014862777015
1,6,logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,3,0.05479530110530937
1,6,logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,4,-0.0682788266267158
1,6,logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,5,0.09166281022034826
1,6,logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,6,-0.05552169006367129
1,6,exports_of_goods_and_services_current_usd,1,-0.00482507304873015
1,6,exports_of_goods_and_services_current_usd,2,0.015508038230958652
1,6,exports_of_goods_and_services_current_usd,3,0.02264130955120273
1,6,exports_of_goods_and_services_current_usd,4,0.010094777386960923
1,6,exports_of_goods_and_services_current_usd,5,-0.002273549213598124
1,6,exports_of_goods_and_services_current_usd,6,0.019924306429366958
1,6,exports_of_goods_and_services_current_lcu,1,-0.006383156024568108
1,6,exports_of_goods_and_services_current_lcu,2,0.0027218017083923923
1,6,exports_of_goods_and_services_current_lcu,3,-0.0020741619127506634
1,6,exports_of_goods_and_services_current_lcu,4,0.04195707221552
1,6,exports_of_goods_and_services_current_lcu,5,-0.009783273896941556
1,6,exports_of_goods_and_services_current_lcu,6,0.0024541332945151708
1,6,exports_of_goods_and_services_constant_2015_usd,1,-0.004814978689988949
1,6,exports_of_goods_and_services_constant_2015_usd,2,0.018598949147269103
1,6,exports_of_goods_and_services_constant_2015_usd,3,0.023596904408149225
1,6,exports_of_goods_and_services_constant_2015_usd,4,0.007960179084348212
1,6,exports_of_goods_and_services_constant_2015_usd,5,-0.00375032983288452
1,6,exports_of_goods_and_services_constant_2015_usd,6,0.02414268452464742
1,6,exports_of_goods_and_services_annual_percent_growth,1,0.21867352279201163
1,6,exports_of_goods_and_services_annual_percent_growth,2,0.02594671193638126
1,6,exports_of_goods_and_services_annual_percent_growth,3,0.25829532585763804
1,6,exports_of_goods_and_services_annual_percent_growth,4,0.04308868921604946
1,6,exports_of_goods_and_services_annual_percent_growth,5,-0.0698724556974872
1,6,exports_of_goods_and_services_annual_percent_growth,6,0.0005097498045064231
1,6,exports_of_goods_and_services_constant_lcu,1,-0.007621503350042066
