country_name,iso3_country_code,world_bank_region,world_bank_income_group,observation_year,cluster,n_factors,exact_log_likelihood,regularized_log_likelihood
Seychelles,SYC,Sub-Saharan Africa,High income,2022,3,9,-4.482827523738457,-4.5821719985692155
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,High income,2022,3,9,5.0291637664943565,4.927400589911425
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2022,3,9,1.1493663235239069,1.0361288538185036
South Sudan,SSD,Sub-Saharan Africa,Low income,2022,3,9,-4.0564427893133015,-3.049985705558317
Sri Lanka,LKA,South Asia,Lower middle income,2022,3,9,-7.894725690184146,-8.01540309886867
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,2022,3,9,4.667265229341702,4.565588996955983
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,2022,3,9,-2.957874198013762,-3.0552384098761785
St. Martin (French part),MAF,Latin America & Caribbean,High income,2022,3,9,8.7550297895555,9.763703127124357
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,2022,3,9,4.865293687640264,4.754300594609697
Suriname,SUR,Latin America & Caribbean,Upper middle income,2022,3,9,-0.42840679466478804,-0.5441641614443924
Thailand,THA,East Asia & Pacific,Upper middle income,2022,3,9,-14.277352907476605,-14.385313030617514
Tonga,TON,East Asia & Pacific,Upper middle income,2022,3,9,-30.93932353535915,-31.050330054592983
Tunisia,TUN,Middle East & North Africa,Lower middle income,2022,3,9,-0.42033726802942084,-0.535425836234662
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,2022,3,9,2.42476419128095,2.319004098678363
Turks and Caicos Islands,TCA,Latin America & Caribbean,High income,2022,3,9,11.111405073801343,11.010335280973873
Tuvalu,TUV,East Asia & Pacific,Upper middle income,2022,3,9,-3.1106830662760174,-3.2137092619298784
Ukraine,UKR,Europe & Central Asia,Upper middle income,2022,3,9,-31.302821104025902,-31.417528652759074
United States,USA,North America,High income,2022,3,9,-54.76531165063437,-54.88538345118007
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,2022,3,9,-102.42392811290102,-102.5443911691192
Vanuatu,VUT,East Asia & Pacific,Lower middle income,2022,3,9,-11.123197582927109,-11.226784340249608
"Venezuela, RB",VEN,Latin America & Caribbean,Not classified,2022,3,9,-46.611681744587564,-46.72938680053506
Viet Nam,VNM,East Asia & Pacific,Lower middle income,2022,3,9,-73.29465193478043,-73.41378683703527
Virgin Islands (U.S.),VIR,Latin America & Caribbean,High income,2022,3,9,3.539348901438835,3.437400966253813
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,2022,3,9,-5.838015157423804,-5.938537341775351
"Yemen, Rep.",YEM,Middle East & North Africa,Low income,2022,3,9,5.432640080505088,6.440744631444998
Puerto Rico,PRI,Latin America & Caribbean,High income,2022,3,9,8.7550297895555,9.763703127124357
Somalia,SOM,Sub-Saharan Africa,Low income,2022,3,9,8.7550297895555,9.763703127124357
