specification_id,scope,cluster,eigenvalue_rank,observed_eigenvalue,permutation_threshold,retain
9,cluster_1,1,22,0.19637941673923195,0.6183442216492354,False
9,cluster_1,1,23,0.15345296060889208,0.5358664735597951,False
9,cluster_1,1,24,0.13780649124654973,0.46587316060968614,False
9,cluster_1,1,25,0.10302473213260407,0.4036227653664487,False
9,cluster_1,1,26,0.06967140655831698,0.33669189174114533,False
9,cluster_1,1,27,0.04233118424918869,0.28409793652898097,False
9,cluster_1,1,28,0.027999088321698853,0.2318414363099281,False
9,cluster_1,1,29,0.022358790349117384,0.1849519533116389,False
9,cluster_1,1,30,0.011567863746601284,0.14015229381924862,False
9,cluster_1,1,31,0.008237304870036296,0.10081110929437896,False
9,cluster_1,1,32,0.0017320253672845481,0.06717463823026985,False
9,cluster_1,1,33,6.878847290239513e-16,1.1427524760158235e-15,False
9,cluster_1,1,34,3.5576849543530374e-16,7.637890829338017e-16,False
9,cluster_1,1,35,3.262643147189996e-16,5.608001846505364e-16,False
